IsVant	Form	BaseSyllables	BaseUnderlyingAccent	FinalSeg-vowel	FS-[+high]	FS-[+long]	FS-[+round]	FS-[+coronal]	FS-[+anterior]	FS-[+back]	FS-[+continuant]	FS-[+nasal]	FS-[+son]	2SRetroPalatal	2Siu
0	yAvamant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
0	kAnvamant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
0	arcimAnt	2	0	1	1	0	0	0	0	0	1	0	1	1	0
0	aNjimAnt	2	0	1	1	0	0	0	0	0	1	0	1	1	0
0	prASTimant	2	1	1	1	0	0	0	0	0	1	0	1	1	0
0	abhiSTimAnt	3	0	1	1	0	0	0	0	0	1	0	1	1	0
0	puSTimAnt	2	0	1	1	0	0	0	0	0	1	0	1	1	0
0	zruSTimAnt	2	0	1	1	0	0	0	0	0	1	0	1	1	0
0	rSTimAnt	2	0	1	1	0	0	0	0	0	1	0	1	1	0
0	bhrSTimAnt	2	0	1	1	0	0	0	0	0	1	0	1	1	0
0	vrSTimAnt	2	0	1	1	0	0	0	0	0	1	0	1	1	0
0	svastimAnt	2	0	1	1	0	0	0	0	0	1	0	1	0	0
0	abdimAnt	2	0	1	1	0	0	0	0	0	1	0	1	0	0
0	nidhimAnt	2	0	1	1	0	0	0	0	0	1	0	1	0	0
0	udanimAnt	2	0	1	1	0	0	0	0	0	1	0	1	0	0
0	azAnimant	2	1	1	1	0	0	0	0	0	1	0	1	0	0
0	dhUnimant	2	1	1	1	0	0	0	0	0	1	0	1	0	0
0	rayimAnt	2	0	1	1	0	0	0	0	0	1	0	1	0	0
0	varimAnt	2	0	1	1	0	0	0	0	0	1	0	1	0	0
0	Avimant	2	1	1	1	0	0	0	0	0	1	0	1	0	0
0	sthivimAnt	2	0	1	1	0	0	0	0	0	1	0	1	0	0
0	dhrAjiimant	2	1	1	1	1	0	0	0	0	1	0	1	1	0
0	vAAziimant	2	1	1	1	1	0	0	0	0	1	0	1	0	0
0	tAviSiimant	3	1	1	1	1	0	0	0	0	1	0	1	0	0
0	tvISiimant	3	1	1	1	1	0	0	0	0	1	0	1	0	0
